               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090803,              0.0355,            0.065693,          0.00033675,            0.042484,          0.00022045,          3.5983e-05,            0.082125,             0.02902,            0.063107,             0.07016,           0.0033155,           0.0033155
                   1,            0.083873,            0.034181,            0.061975,           0.0003614,            0.026144,          0.00024833,          6.1784e-05,            0.080163,            0.027268,            0.059591,            0.040147,           0.0066357,           0.0066357
                   2,            0.080723,            0.033811,              0.0568,          0.00029687,            0.026144,            0.000336,          6.8355e-05,            0.077842,             0.02629,            0.049711,            0.010121,           0.0099426,           0.0099426
                   3,            0.076386,            0.033079,            0.043552,           0.0022263,             0.33809,           0.0046786,           0.0014753,            0.069397,            0.025808,            0.033381,           0.0099406,           0.0099406,           0.0099406
                   4,            0.068135,            0.034403,            0.036801,           0.0018889,             0.47527,           0.0040101,           0.0010992,            0.074196,            0.023086,            0.033248,           0.0099406,           0.0099406,           0.0099406
                   5,            0.066128,            0.033774,            0.033766,             0.91308,            0.023529,            0.020252,           0.0060327,            0.063465,            0.024263,            0.029459,           0.0099208,           0.0099208,           0.0099208
                   6,            0.061531,            0.032101,            0.033078,             0.90254,            0.026144,            0.046928,             0.01365,            0.068176,            0.024969,            0.033566,            0.009901,            0.009901,            0.009901
                   7,            0.057852,            0.031483,            0.029808,             0.88134,            0.057183,             0.11152,            0.049931,            0.059674,            0.024106,            0.026928,           0.0098812,           0.0098812,           0.0098812
                   8,            0.056478,            0.028493,            0.028618,             0.72948,            0.094118,             0.15475,            0.070945,            0.058131,            0.023972,            0.027227,           0.0098614,           0.0098614,           0.0098614
                   9,            0.054311,            0.027838,            0.026858,              0.7404,             0.12788,             0.16189,            0.050003,            0.057703,            0.027362,            0.026271,           0.0098416,           0.0098416,           0.0098416
                  10,            0.052527,            0.027418,            0.026238,               0.653,             0.21404,             0.20599,             0.10182,            0.051093,            0.021648,            0.022927,           0.0098218,           0.0098218,           0.0098218
